Customer #	Interarrival Time (minutes)	Service Time (minutes)
110	4.90	2.73
111	2.95	2.74
112	4.32	3.47
113	4.03	2.05
114	4.57	3.85
115	4.68	4.79
116	1.97	2.82
117	2.51	3.84
118	4.44	2.83
119	4.36	2.85
120	4.32	0.68
121	4.84	3.89
122	4.35	3.82
123	3.79	3.54
124	4.08	4.21
125	3.71	4.43
126	4.09	2.35
127	4.10	1.44
128	2.81	2.20
129	4.73	4.00
130	4.48	1.08
131	4.16	2.02
132	3.23	5.40
133	6.77	0.96
134	5.51	0.33
135	2.21	1.25
136	3.13	1.61
137	6.58	2.90
138	3.60	3.52
139	2.03	2.36
140	3.55	1.29
141	4.32	4.41
142	5.92	3.19
143	3.63	3.51
144	4.16	3.70
145	3.47	2.11
146	4.69	1.66
147	4.82	2.60
148	5.17	3.21
149	1.69	3.78
150	4.11	3.85
151	5.11	3.45
152	5.41	3.57
153	2.06	2.83
154	3.50	1.04
155	1.75	3.67
156	5.36	2.70
157	3.92	1.60
158	5.33	1.88
159	5.07	3.63
160	4.96	1.38
161	3.19	4.04
162	4.87	3.46
163	4.98	4.12
164	2.81	2.82
165	3.45	2.91
166	5.21	2.49
167	2.43	3.16
168	3.55	2.59
169	4.17	3.19
170	3.81	4.64
171	3.24	4.64
172	4.53	1.14
173	4.45	2.71
174	3.00	1.76
175	4.04	2.83
176	3.71	1.54
177	3.12	3.98
178	4.04	1.61
179	4.42	3.17
180	5.32	3.97
181	3.85	2.52
182	3.24	2.57
183	4.47	3.12
184	1.93	4.89
185	3.18	1.92
186	2.29	2.88
187	3.55	3.67
188	5.48	2.86
189	5.03	2.60
190	4.10	4.02
191	1.83	2.50
192	6.32	1.61
193	4.76	2.01
194	4.62	4.82
195	4.93	3.06
196	3.20	2.38
197	4.31	1.96
198	2.61	2.55
199	3.67	4.19
200	4.16	1.46
201	4.45	2.06
202	4.11	3.58
203	4.26	1.07
204	3.86	4.47
205	4.19	2.82
206	3.94	1.79
207	1.76	1.80
208	3.99	3.77
209	4.28	3.97
210	4.10	3.73
211	5.51	1.95
212	4.60	2.30
213	3.74	2.53
214	2.75	2.81
215	2.28	3.41
216	5.06	2.90
217	4.07	3.06
218	2.72	2.59
219	5.91	4.17
220	3.26	2.24
221	1.95	2.58
222	4.26	4.12
223	4.25	2.83
224	2.99	0.77
225	3.51	3.88
226	3.07	3.65
227	4.13	3.81
228	4.22	1.85
229	4.87	3.45
230	3.68	4.22
231	5.02	2.74
232	2.68	2.49
233	5.33	3.61
234	2.96	4.08
235	4.82	2.22
236	3.26	3.08
237	3.29	2.90
238	4.65	1.31
239	3.39	3.07
240	4.65	3.27
241	5.43	1.60
242	4.11	3.78
243	2.11	3.32
244	6.55	3.65
245	5.49	2.33
246	4.01	4.88
247	5.18	3.75
248	4.25	3.92
249	5.96	3.54
250	3.37	3.25
251	3.34	3.65
252	4.14	3.98
253	3.35	2.33
254	2.80	1.47
255	4.01	3.91
256	3.75	1.70
257	4.41	2.90
258	4.48	2.63
259	4.48	2.34
260	6.56	2.85
261	2.23	4.84
262	5.68	3.67
263	3.67	4.98
264	6.13	3.21
265	5.92	3.22
266	3.39	2.39
267	4.02	2.59
268	5.56	2.44
269	1.76	2.64
270	5.10	1.37
271	3.45	3.87
272	3.52	3.73
273	4.29	2.74
274	2.96	4.84
275	3.79	3.80
276	3.22	1.76
277	4.46	3.07
278	3.05	2.98
279	2.41	3.47
280	4.06	3.09
281	5.16	2.11
282	2.99	2.21
283	3.76	2.05
284	4.05	3.36
285	3.77	3.05
286	5.01	3.64
287	4.94	4.22
288	3.95	4.26
289	3.36	3.12
290	4.37	2.95
291	2.46	3.59
292	4.38	3.40
293	4.74	4.15
294	4.04	2.94
295	3.14	1.38
296	4.24	3.52
297	2.94	3.34
298	1.25	4.92
299	2.31	2.47
300	4.03	2.10
301	4.68	3.12
302	4.47	3.96
303	3.61	3.24
304	4.92	3.71
305	3.94	1.54
306	4.68	2.02
307	3.52	1.45
308	4.28	3.33
309	4.21	4.89
310	2.79	3.42
311	3.09	2.78
312	3.11	3.88
313	2.26	5.06
314	3.98	4.00
315	4.56	4.61
316	4.46	4.24
317	3.80	3.52
318	4.04	3.64
319	2.94	1.85
320	3.09	6.80
321	4.74	4.49
322	3.95	2.55
323	4.48	2.89
324	3.17	2.35
325	3.68	3.56
326	3.43	2.46
327	5.19	1.58
328	4.61	3.51
329	3.89	2.73
330	2.08	3.56
331	2.20	0.41
332	5.27	4.15
333	4.01	3.84
334	3.64	2.35
335	3.31	3.94
336	3.03	3.76
337	4.22	3.00
338	4.15	2.48
339	2.98	2.65
340	3.32	2.09
341	3.87	2.05
342	5.27	1.21
343	3.23	2.89
344	4.94	3.36
345	3.66	3.40
346	4.84	4.08
347	3.66	2.31
348	6.16	2.34
349	2.99	4.12
350	5.27	3.61
351	4.19	3.79
352	6.32	2.05
353	3.82	2.80
354	4.45	3.46
355	3.39	3.86
356	3.68	1.96
357	4.56	3.31
358	3.61	1.36
359	4.43	1.10
360	5.20	1.65
361	4.39	1.83
362	3.97	4.51
363	5.96	2.01
364	3.71	3.71
365	5.08	1.37
366	3.95	3.77
367	4.37	2.09
368	3.98	4.84
369	2.54	3.62
370	4.22	4.33
371	5.02	4.26
372	5.74	4.94
373	4.68	4.71
374	2.98	2.50
375	3.97	3.14
376	2.90	2.00
377	5.14	4.63
378	3.98	2.56
379	5.80	2.76
380	2.93	0.62
381	5.32	4.11
382	4.38	3.65
383	3.67	2.50
384	5.15	3.95
385	4.02	1.88
386	2.98	2.88
387	3.26	1.85
388	4.39	1.05
389	5.32	2.62
390	4.19	2.31
391	5.13	2.36
392	3.45	3.24
393	4.62	2.96
394	3.95	2.56
395	2.80	4.06
396	2.28	3.54
397	5.10	2.98
398	5.22	1.88
399	4.32	3.05
400	4.13	1.59
401	3.93	2.02
402	4.64	3.79
403	3.85	2.67
404	2.73	1.93
405	2.02	2.57
406	4.65	3.48
407	2.93	3.51
408	5.79	3.34
409	4.17	2.35
410	3.83	1.02
411	4.06	3.49
412	4.72	2.97
413	4.72	2.98
414	1.62	4.49
415	3.05	2.77
416	2.21	2.84
417	3.00	1.48
418	3.51	1.54
419	3.67	4.34
420	2.70	3.45
421	4.65	3.73
422	5.14	3.76
423	5.02	2.89
424	4.06	3.76
425	2.85	3.19
426	4.23	3.91
427	2.67	5.01
428	4.42	1.49
429	4.39	3.88
430	4.16	4.73
431	4.47	1.96
432	3.80	3.30
433	5.12	3.53
434	5.24	2.71
435	2.50	3.68
436	5.52	2.47
437	2.85	3.02
438	4.51	3.99
439	4.18	4.95
440	4.99	2.78
441	5.04	4.50
442	3.76	2.86
443	2.68	1.25
444	4.04	3.69
445	4.08	4.31
446	5.38	3.89
447	2.82	3.73
448	4.49	2.79
449	5.44	3.12
450	5.33	3.75
451	3.04	1.82
452	1.72	2.81
453	4.30	4.05
454	3.88	3.65
455	4.15	3.62
456	4.41	3.46
457	2.77	2.70
458	3.67	3.28
459	5.49	2.56
460	5.17	2.10
461	4.32	2.63
462	3.97	3.18
463	5.39	2.10
464	5.26	2.76
465	3.77	2.19
466	5.58	2.90
467	3.41	3.22
468	4.44	2.39
469	3.52	0.69
470	3.54	4.43
471	3.67	0.23
472	3.67	2.21
473	3.19	4.25
474	5.86	2.91
475	5.84	2.39
476	3.91	2.96
477	4.08	2.22
478	1.64	4.10
479	4.26	2.77
480	3.80	1.39
481	3.87	3.26
482	2.43	2.50
483	3.56	3.56
484	4.00	2.48
485	4.34	2.96
486	4.31	3.08
487	4.93	3.46
488	5.51	2.86
489	4.53	2.21
490	3.49	3.54
491	4.84	3.86
492	4.25	2.63
493	3.22	2.94
494	4.86	2.67
495	3.69	2.54
496	4.88	3.19
497	3.85	2.88
498	3.95	1.86
499	3.60	3.32
500	4.93	3.30
